Error                          Corrected                     
Shiree                         Shire                         
BBusha                         Busha                         
Phavitii                       Phaviti                       
Voogha                         Vogha                         
moporo                         Moporo                        
Lopetupi                       Lopitupi                      
Tonu                           Tonu                          
DDhala                         Dhala                         
veka                           Veka                          
GICHOKHA                       Gichokha                      
shdo                           Sudo                          
Gobene                         Jobene                        
KESI                           Kesi                          
DiCHi                          Dichi                         
jobrr                          Jobha                         
Lich                           Lichi                         
Zhappo                         Shapo                         
Gareb                          Gareeb                        
sOvRu                          Sovu                          
Raskalo                        Rakalo                        
Hkua                           Huka                          
dhasija                        Dhasija                       
vajha                          Vajha                         
vikhihu                        Vikhihu                       
Dobihagja                      Dobihagha                     
aPyal                          Payal                         
Keekhace                       Keekhace                      
Hiteshh                        Hitesh                        
Vyajo                          Vajo                          
iMjo                           Mijo                          
DHALIKITU                      Dhalikitu                     
chikori                        Khikori                       
Phoor                          Phool                         
Julu                           Juru                          
PPhasho                        Phasho                        
Jgua                           Juga                          
Shodqeme                       Shodeme                       
Tyshi                          Toshi                         
KHUSU                          Khusu                         
KHiGO                          Khigo                         
aDra                           Dara                          
VEKA                           Veka                          
Hunaraawa                      Hunaraawa                     
Gpita                          Pita                          
Sihca                          Siha                          
Sodur                          Sodu                          
Nichuvekha                     Michuvekha                    
SIKUJEGO                       Sikujego                      
Rure                           Rure                          
iJde                           Jide                          
MIKATI                         Mikati                        
LIODSU                         Lidosu                        
Miwu                           Midu                          
Gevu                           Kevu                          
KHANI                          Khani                         
vETIrooVU                      Vetirovu                      
tibuno                         Tibuno                        
Sir                            Sir                           
Dhushe                         Dhashe                        
Lekkhi                         Lekhi                         
Vogha                          Vogha                         
Natenra                        Matera                        
Cini                           Sini                          
Saah                           Saal                          
Dedosoka                       Dedasoka                      
Shhin                          Shehi                         
PokHalU                        Pokhalu                       
Joporosy                       Joparosi                      
Aaam                           Aam                           
Gharo                          Kharo                         
Khadda                         Khada                         
bapediba                       Bapediba                      
Rahee                          Rahe                          
Ghipu                          Chipu                         
Vejhoshuhe                     Vejoshuhe                     
Nudimichha                     Nutemichha                    
hooji                          Hoji                          
SShanu                         Shanu                         
Muchha                         Machha                        
Naddhaga                       Nadhaga                       
Chadqe                         Chade                         
Relivo                         Leluvo                        
Khocha                         Khochi                        
ALDETUHEE                      Ladetuhe                      
MEUPA                          Mepa                          
Hane                           Hage                          
shocghaa                       Shocha                        
Kushozi                        Kushoji                       
Dhahopa                        Dhahena                       
Vopaamu                        Vopamu                        
aku                            Kaku                          
Vetu                           Vetu                          
Ldutu                          Lidutu                        
Ghaga                          Ghaka                         
Hucha                          Hucha                         
Hoka                           Huka                          
Tmihu                          Tokhu                         
Chisoduu                       Chisodu                       
Maupha                         Mupha                         
Rutuchalo                      Rutuchhalo                    
Baignani                       Baingani                      
DDekumi                        Dekumi                        
sohi                           Sohi                          
JUNGlE                         Jungle                        
LEMIDAKE                       Lemidake                      
Jidde                          Jide                          
kiya                           Kiya                          
Mophaco                        Mophacho                      
shokhogu                       Shokhogu                      
Vivqni                         Vivani                        
CHOSA                          Chosa                         
Gudho                          Gucho                         
Junu                           Jugu                          
Bamshi                         Bamishi                       
Taaphasho                      Taphasho                      
Hivajir                        Hivaji                        
gEJha                          Gejha                         
Lasoi                          Rasoi                         
Chaaruthhashi                  Charuthashi                   
Rejjhachi                      Rejjhachi                     
Dakijotu                       Dokijotu                      
barish                         Barish                        
Khhimau                        Khima                         
Topoofri                       Topoofri                      
BAJHADI                        Bajhadi                       
Khochacha                      Khochachha                    
Lteakhi                        Letakhi                       
Steuto                         Setuto                        
Bushudku                       Bushuku                       
DOChiBA                        Dochiba                       
sumade                         Sumade                        
Repaopu                        Repopu                        
Chodo                          Choto                         
Rokhu                          Rokhu                         
otha                           Kotha                         
yoshi                          Toshi                         
Mebe                           Meba                          
Mymaa                          Mamta                         
TASO                           Taso                          
Dniesh                         Dinesh                        
Mosu                           Masu                          
Sppnnee                        Sppnnee                       
Gevo                           Givo                          
Chudu                          Chodu                         
Nahi                           Nahi                          
SHOLIVODA                      Sholivoda                     
Beekha                         Teekha                        
Vajja                          Vajha                         
CHIPIMU                        Chipimu                       
Gahuugha                       Gahugha                       
aAg                            Aag                           
GHAFA                          Ghava                         
Noteichosha                    Notichosha                    
Nughaso                        Nuhase                        
khanu                          Khanu                         
CHAND                          Chand                         
Yube                           Sube                          
Gpiisi                         Gipisi                        
Dl                             Do                            
GUMALU                         Gumalu                        
BijI                           Biji                          
lute                           Lute                          
TUYAJULA                       Tuyajula                      
haSI                           Hasi                          
Beep                           Bees                          
Dusr                           Duse                          
khive                          Khive                         
Mepi                           Mapi                          
gOBHa                          Gobha                         
Khukhoha                       Khuchha                       
Govema                         Goveme                        
Shadegcinu                     Shadeginu                     
Ruhibuu                        Ruhibu                        
Koghacih                       Koghachi                      
hogejosi                       Hogejosi                      
Nope                           Nopa                          
Bahivoochha                    Bahivuchha                    
Sichu                          Suchu                         
HolUnadi                       Holunadi                      
Bolagheja                      Bolageja                      
SShao                          Sasha                         
Bhamabro                       Bhamabo                       
CHADO                          Chado                         
udo                            Nudo                          
TETII                          Teti                          
Chana                          Chano                         
jhaku                          Jhaku                         
Puuya                          Puya                          
Jesisa                         Gesesa                        
Liddutu                        Lidutu                        
Lovoora                        Lovora                        
MALUKHA                        Malukha                       
JJihochu                       Jihochu                       
Chihikho                       Chihiko                       
giGA                           Giga                          
Shuha                          Shuha                         
Zoli                           Roli                          
RIPU                           Ripu                          
bAMI                           Bami                          
Jeghavvi                       Jeghavi                       
Khhosho                        Khosho                        
Nnajjo                         Najo                          
Nadhagaa                       Nadhaga                       
Teeterogi                      Teterogi                      
Rohepi                         Lohepi                        
dhicha                         Dhacha                        
Mittti                         Mitti                         
Baaci                          Bhati                         
Gusa                           Guse                          
Pus                            Puso                          
shado                          Shado                         
Rikhaari                       Rikhari                       
vugha                          Vugha                         
nilu                           Nilu                          
MIHHAHE                        Mijhahe                       
rachu                          Rachu                         
Vegaa                          Vega                          
oJke                           Joke                          
DHAKO                          Dhako                         
Ludhhabu                       Ludhabo                       
chimu                          Chimu                         
Kihicou                        Kihiku                        
Dalimoo                        Galimo                        
PPatlu                         Patlu                         
SEeGeHUUnU                     SEeGeHUUnU                    
CHiNiKyUSHhU                   CHiNiKyUSHhU                  
RibibO                         Ribibo                        
Gakhamajju                     Gakhamaju                     
stushumu                       Tushamu                       
Qhoba                          Choba                         
Riliibu                        Riliibu                       
Kadwe                          Kadwa                         
repopu                         Repopu                        
HilU                           Hilu                          
Valee                          Vale                          
LLuju                          Luju                          
Surci                          Suri                          
CIHta                          Chita                         
Mosiji                         Musiji                        
Rulee                          Rule                          
Zogivau                        Zogivau                       
Kikhhu                         Kikhu                         
HIMUPU                         Himupu                        
MOyA                           Moya                          
iSr                            Sir                           
hKatta                         Khatta                        
Lkihna                         Likhna                        
pVulo                          Vulo                          
DOST                           Dost                          
Hdote                          Hote                          
Maro                           Muro                          
tano                           Tino                          
Dhula                          Dhala                         
Keshi                          Kechi                         
Bothenne                       Botene                        
Gochsie                        Gochise                       
ladoo                          Ladoo                         
Jahughe                        Gahugha                       
Dfogudi                        Dogudi                        
Tebeeru                        Teberu                        
THAlA                          Thala                         
jeshguu                        Jeshegu                       
tegutha                        Tegutha                       
Khhina                         Khina                         
JEsi                           Jesi                          
ishe                           Lishe                         
Bwommi                         Bomi                          
Shasalii                       Shasali                       
jhakha                         Jhakha                        
Dhokl                          Dhokla                        
Koghschi                       Koghachi                      
Beepu                          Bepu                          
SaSOjU                         Sasoju                        
KipO                           Kipo                          
D                              Do                            
Lijiii                         Hijini                        
Hiphukeha                      Hiphakeho                     
Pukhirii                       Pukhiri                       
Shopbi                         Shopi                         
Duztu                          Dutu                          
Chisidu                        Chisudu                       
Rimj                           Rimu                          
Rechq                          Recha                         
KUKhA                          Kukha                         
Khauhee                        Khuhe                         
bezy                           Besi                          
ivu                            Jivu                          
Taaki                          Taki                          
lOjh                           Lojo                          
Thahe                          Thaha                         
kaku                           Kaku                          
Vome                           Vome                          
veshe                          Veshe                         
gUbU                           Gubu                          
Gurapi                         Gulabi                        
YAMUU                          Lambu                         
poem                           Prem                          
Ranu                           Rano                          
Naku                           Noku                          
Kuhan                          Kuhana                        
dimag                          Dimag                         
Rashimii                       Rashimi                       
Szva                           Sava                          
Keshisaa                       Keshisa                       
Symipor                        Symipor                       
ggOLa                          Gola                          
mutoku                         Mutoku                        
Gapux                          Gabu                          
Letquleso                      Letuleso                      
bhakho                         Bhakho                        
Magee                          Mage                          
Sahumapo                       Suhumapo                      
SHOJOPI                        Shijopi                       
Kaib                           Kabi                          
DDimag                         Dimag                         
soLU                           Solu                          
Biha                           Viha                          
jISHo                          Jisho                         
hasNa                          Hasna                         
Siha                           Siha                          
Recga                          Recha                         
MeKHaGhAGha                    Mekhaghagha                   
Lizhe                          Lishe                         
vEnUnUGha                      Venunugha                     
hunealva                       Hunerava                      
Majha                          Najha                         
Peseom                         Pesemo                        
khudennahe                     Khudenahe                     
bhADi                          Bhadi                         
Toh                            Tohe                          
Gga                            Giga                          
Hotha                          Hodha                         
Horanile                       Horanili                      
bISydO                         Bisido                        
HORANILI                       Horanili                      
Sihopa                         Sihopha                       
Ysu                            Yasu                          
Yadhatojco                     Yadhatojo                     
Pavu                           Pavo                          
leyamome                       Leyamome                      
Mugi                           Magi                          
Keekiya                        Kekiya                        
HAYAnA                         Hayana                        
Nahiruik                       Nahiruki                      
Heige                          Hige                          
Khhozu                         Khonu                         
ViPatEjHa                      Vipatejha                     
Shutygubpa                     Shutiguba                     
Raakhudo                       Rakhudo                       
Nooto                          Nato                          
viga                           Viga                          
GICHOKHA                       Gichokha                      
oTlu                           Tolu                          
Phavviti                       Phaviti                       
PICHI                          Pichi                         
Doguudi                        Dogudi                        
HIBUTHA                        Hibutha                       
Suchaamive                     Suchamive                     
makhu                          Machu                         
Hiiphakeho                     Hiphakeho                     
Tucha                          Tuchu                         
muusyji                        Musiji                        
mokepifje                      Mokepipe                      
PotAMO                         Potamo                        
Gonhabujo                      Gobhabujo                     
Bigenna                        Bigina                        
SUHOK                          Suho                          
Khoshhe                        Khoshe                        
Khajo                          Khajo                         
evcha                          Vecha                         
Booliru                        Boliru                        
PANU                           Panu                          
hSupekha                       Shupekha                      
Biibi                          Bibi                          
QgOLE                          Khole                         
DOTO                           Doto                          
SSiro                          Shiro                         
REte                           Rete                          
Yaavee                         Yave                          
kicHA                          Kicha                         
churi                          Churi                         
Juvaaruke                      Juvaruke                      
veeyapi                        Viyapi                        
Seeqo                          Seema                         
GIeI                           Gidi                          
Nifi                           Niri                          
Chhasoogi                      Chhasogi                      
Tuvsa                          Tuva                          
sukavutu                       Sukavutu                      
Sihre                          Sihe                          
Cholosi                        Cholose                       
Yaravo                         Yarabo                        
eLro                           Lero                          
Mankue                         Manuke                        
Kabp                           Kabi                          
Marooje                        Maruje                        
Yaakhi                         Yakhi                         
Chatos                         Chato                         
CHiTo                          Chito                         
Bamauba                        Yamuba                        
Nudi                           Nudi                          
RaVi                           Ravi                          
Siu                            Sau                           
Vqeu                           Vivu                          
bosha                          Bosha                         
Cjatha                         Shatha                        
oNhe                           Nohe                          
KHIOKrI                        Khikori                       
Chao                           Chai                          
Soopu                          Sopu                          
chhakhakada                    Chhakhakuda                   
JUKha                          Jukha                         
Hiji                           Hije                          
Peemo                          Pesemo                        
Seppa                          Sepa                          
riki                           Riki                          
Malukah                        Malukha                       
Laha                           Liha                          
PUURI                          Puri                          
Leko                           Leke                          
Goddah                         Godha                         
Bikhwije                       Bikhije                       
kImiPHa                        Kimipha                       
eSothahato                     Sothahato                     
chino                          Chino                         
Rejeema                        Lejema                        
SACHONNO                       Suchono                       
Riitukha                       Ritukha                       
LAVI                           Lavi                          
jhANAto                        Jhanato                       
Kalpseh                        Kalpesh                       
yMeluro                        Meluro                        
sadudi                         Sadudi                        
Dihumo                         Dihumi                        
Bopa                           Bopo                          
MATEPU                         Matepu                        
jPayal                         Payal                         
Givve                          Give                          
mopo                           Mopo                          
VICHHATHAMU                    Vichhathamu                   
CHOBHAHU                       Chobhahu                      
Gkuhucha                       Gukhucha                      
Baatti                         Batti                         
KKhagau                        Khagu                         
Chejufha                       Shejupha                      
Thajume                        Thagome                       
PIJU                           Piju                          
peKAtI                         Pekati                        
Shoochi                        Shochi                        
Lemidakha                      Lemidake                      
Khokuu                         Khokugu                       
Cghokota                       Chokota                       
Chhovu                         Chhava                        
Vuhuulu                        Vuhulu                        
Bhalat                         Bharat                        
juChU                          Juchu                         
Koorda                         Koorda                        
Thhao                          Thaha                         
Shurracho                      Shuracho                      
Khirooda                       Khiroda                       
Chhamee                        Chhame                        
KKhuto                         Khuto                         
Duusheso                       Dusheso                       
hCuchhacha                     Chuchhacha                    
Bipeji                         Bipemi                        
Krsa                           Kusa                          
CHUPA                          Chupa                         
Dhgo                           Dhago                         
davEbEJHa                      Davebejha                     
fapo                           Vapo                          
Puty                           Puti                          
shibiheti                      Shibiheti                     
Nakoh                          Nakho                         
BAJO                           Bajo                          
Haani                          Honi                          
cevi                           Mevi                          
daShT                          Dasho                         
Niboose                        Nibuse                        
pega                           Pega                          
Chokl                          Choko                         
Trvu                           Tivu                          
Shupovoeti                     Shupoveti                     
Vxubidhha                      Vubidha                       
bjKo                           Biko                          
NEPE                           Nepa                          
KUHAN                          Kuhana                        
SUCHONO                        Suchono                       
vopucho                        Vopucho                       
Dushmn                         Dushman                       
Ssonuku                        Somuku                        
Mye                            Mez                           
wLojha                         Lojha                         
Siun                           Sinu                          
Bhe                            Bohe                          
Goha                           Goha                          
SASHA                          Sasha                         
BUSI                           Busi                          
Meru                           Muru                          
Roamesh                        Ramesh                        
KhAPe                          Khape                         
Dachha                         Duchha                        
tolutaga                       Tolutaga                      
shchi                          Shehi                         
Pepeeli                        Pepeli                        
YAdU                           Yadu                          
nsjha                          Najha                         
mnenaya                        Menaya                        
porepo                         Lorepo                        
prvooma                        Pevoma                        
peke                           Peke                          
Taaiya                         Takiya                        
Khypo                          Khipo                         
Voghii                         Vochi                         
KHUTACHA                       Khutacha                      
CHHAJU                         Chhaju                        
Keeje                          Keje                          
Kukiek                         Kukike                        
Kebr                           Kebe                          
Tilamaga                       Tiramaga                      
Ruojeki                        Rujeki                        
Thakhu                         Thashu                        
LEBISA                         Lebisa                        
Bishwas                        Vishwas                       
Sasoza                         Sasoju                        
Kaho                           Kaho                          
chipa                          Chupa                         
VIIHA                          Vijha                         
Royevude                       Rotevude                      
Leduvo                         Letuvo                        
Bhashe                         Bhashe                        
Tibnuo                         Tibuno                        
KoMaL                          Komal                         
Nave                           Nive                          
Suhveetashi                    Suhveetashi                   
uhaba                          Ghaba                         
vitI                           Viti                          
Nutmeichha                     Nutemichha                    
Luhu                           Luha                          
Tath                           Aath                          
Gupse                          Guse                          
rUjHa                          Rujha                         
suya                           Suya                          
Lapave                         Lapava                        
Vtivani                        Vivani                        
oevi                           Mevi                          
Hitifa                         Hitipa                        
Kokhi                          Kakhi                         
NMICHI                         Nichi                         
sOdikhIrO                      Sodikhiro                     
Nilookha                       Nilokha                       
Giipuchira                     Gipuchira                     
leushubu                       Lesubu                        
Tiiruchhu                      Tiruchha                      
Gagd                           Gagi                          
Juttuba                        Jutuba                        
Bailabe                        Balabe                        
huse                           Huse                          
goOpe                          Joote                         
Yajo                           Yajo                          
PHADAPA                        Phadapa                       
CHAA                           Chai                          
Berole                         Berile                        
vedi                           Vedi                          
Vokhlu                         Vokholu                       
guSE                           Guse                          
Bheka                          Bhaka                         
Dupqtta                        Dupatta                       
Civa                           Siva                          
RECHILU                        Rechilu                       
Shiise                         Shise                         
Pokhhala                       Pokhalu                       
Deat                           Deta                          
Dokijou                        Dokijotu                      
Runo                           Rano                          
Chhoripehe                     Choripehe                     
Behu                           Beho                          
Ninrse                         Ninese                        
MUME                           Mume                          
Givo                           Givo                          
Lkho                           Loho                          
Hejjeni                        Hejeni                        
Hojgechu                       Hojechu                       
htokra                         htokra                        
Thaako                         Thako                         
KEBOVIH                        Kebovi                        
Mialro                         Milaro                        
Miam                           Mima                          
meshovu                        Meshovu                       
Vumo                           Vumo                          
PPogu                          Pogu                          
Heero                          Hero                          
LUJU                           Luju                          
achi                           Rachi                         
PAkHIdHaKi                     Pakhidhaki                    
UhE                            Huhe                          
Zaqo                           Sako                          
KHUTACHA                       Khutacha                      
Rabokahi                       Labokhi                       
Soshhe                         Soshe                         
hipha                          Hipha                         
htaO                           Hato                          
Jogaruke                       Juvaruke                      
Chumemi                        Chamemi                       
Pamakau                        Pamakau                       
MITURU                         Mituru                        
Shfarebuya                     Sharebuya                     
Chyluchha                      Chiluchha                     
Anaer                          Ameer                         
chucha                         Chucha                        
VVagARI                        Vagari                        
mashhokhaa                     mashhokhaa                    
ilo                            Rilo                          
Luhiduu                        Luhidu                        
kihiku                         Kihiku                        
JEGAHVI                        Jeghavi                       
JLOKA                          Loka                          
Dhaghadhe                      Dhaghade                      
Bohi                           Buhi                          
kLUHE                          Khuhe                         
GUSHE                          Gushe                         
LUNI                           Runi                          
nOPAbha                        Nopabha                       
Bicstar                        Bistar                        
Khathakhqa                     Khathakha                     
Shumkihi                       Shumikhi                      
sogha                          Sogha                         
dokijotu                       Dokijotu                      
Khhijo                         Khijo                         
Tirlae                         Tirale                        
JApEBI                         Jabebi                        
Qhitevi                        Khitevi                       
Mokhugu                        Mokhugi                       
Biigina                        Bigina                        
KARe                           Kare                          
hSada                          Hada                          
riVIJA                         Rivija                        
Maaru                          Maru                          
jihrhuu                        Jihehu                        
Shaapori                       Shabori                       
Nogosu                         Nugoso                        
Muuhase                        Nuhase                        
Vdi                            Vadi                          
tuhe                           Tohe                          
Zameej                         Zameen                        
oLru                           Loru                          
Hahii                          Hahidi                        
Heehivu                        Hehivu                        
tadara                         Tadara                        
Chhaghnaegu                    Chhaghanegu                   
hese                           Hese                          
Megho                          Mecho                         
Sohki                          Soki                          
Lej                            Lejo                          
uNha                           Usha                          
Zasu                           Yasu                          
Nnusene                        Nuseme                        
Putine                         Padine                        
Moshedolso                     Moshedolo                     
pubera                         Pubera                        
ssuchamive                     Suchamive                     
Hyege                          Hege                          
HICHHA                         Hichha                        
Gushiau                        Gushisu                       
LUKE                           Luke                          
Sonhu                          Sohu                          
Htao                           Hato                          
Kikyya                         Kekiya                        
Jagee                          Jage                          
Yolwho                         Yalaho                        
Magee                          Mage                          
Gtoo                           Goto                          
Luhsi                          Lushi                         
jabut                          Jabute                        
vAdU                           Vadu                          
GAROle                         Garole                        
pehu                           Pehu                          
Ripu                           Ripu                          
Bipaunu                        Bipaunu                       
mRopa                          Mopa                          
HOKIBU                         Hokibu                        
Hoath                          Haath                         
rashimi                        Rashimi                       
chHHaTA                        Chehara                       
TTharepoko                     Tharepoko                     
Giwlhari                       Gilhari                       
Shushebaape                    Shushebape                    
VUDODA                         Vudoda                        
Vtueme                         Vuteme                        
GEBENA                         Gebenu                        
Kavkle                         Kavile                        
shupoveti                      Shupoveti                     
Ronevve                        Roneve                        
Seuya                          Suya                          
Rettuu                         Retu                          
Maturo                         Maduro                        
kopi                           Kopi                          
Phadhha                        Phachha                       
SHiHADATHA                     Shihadatha                    
SSadhapalo                     Sadhapalo                     
PPelu                          Pelu                          
nSitu                          Nitu                          
Rilbo                          Rilo                          
Haho                           Hoho                          
Vapphari                       Vaphari                       
Jogee                          Joge                          
Chapanu                        Chhapanu                      
Mino                           Muno                          
nudhabhacho                    Nudhabhacho                   
Korau                          Koru                          
Sep                            Sepa                          
KHIVESU                        Khibesa                       
Kala                           Kala                          
Shoo                           Sholo                         
Sier                           Sher                          
hpupu                          Shupu                         
